12
Sada_Cruzeiro Vedacit Sesc_Flamengo Minas_Tenis EMS_Taubate Volei_Renata Montes_Claros Maringa Cimed Farma_Conde Volei_Ribeirao Lebes_Canoas
0 2313 443 56 471 471 318 871 1087 447 491 1401
2313 0 2356 2361 2420 2392 2017 2601 2763 2375 2392 2884
443 2356 0 441 297 390 737 968 1135 280 484 1467
56 2361 441 0 428 427 270 820 1032 395 437 1343
471 2420 297 428 0 126 697 680 852 88 271 1172
471 2392 390 427 126 0 668 680 852 209 213 1181
318 2017 737 270 697 668 0 1046 1257 660 668 1558
871 2601 968 820 680 680 1046 0 357 654 559 694
1087 2763 1135 1032 852 852 1257 357 0 843 757 897
447 2375 280 395 88 209 660 654 843 0 221 1156
491 2392 484 437 271 213 668 559 757 221 0 989
1401 2884 1467 1343 1172 1181 1558 694 897 1156 989 0
