TEMPO;FO
0;103859
5;94108
10;93310
15;93310
20;89081
25;89081
30;89081
35;86662
40;86059
45;86024
50;86024
55;86024
60;86024
65;86024
70;86024
75;86024
80;86024
85;86024
90;86024
95;86024
100;86024
105;86024
110;86024
115;86024
120;86024
125;86024
130;86024
135;86024
140;86024
145;86024
150;86024
155;86024
160;86024
165;86024
170;86024
175;86024
180;86024
185;86024
190;86024
195;86024
200;86024
205;86024
210;86024
215;86024
220;86024
225;86024
230;86024
235;86024
240;86024
245;86024
250;86024
255;86024
260;86024
265;86024
270;86024
275;86024
280;86024
285;86024
290;86024
295;86024
300;86024
