TEMPO;FO
0;91385
5;88314
10;85936
15;85936
20;83621
25;82678
30;82678
35;82678
40;82678
45;82678
50;82678
55;82678
60;82678
65;82678
70;82678
75;82678
80;82678
85;82678
90;82678
95;82678
100;82678
105;82678
110;82678
115;82678
120;81779
125;81779
130;81779
135;81779
140;81779
145;81779
150;81779
155;81779
160;81779
165;81779
170;81779
175;81779
180;81779
185;81779
190;81779
195;81779
200;81779
205;81779
210;81779
215;81779
220;81779
225;81779
230;81779
235;81779
240;81779
245;81779
250;81779
255;81779
260;81779
265;81779
270;81779
275;81779
280;81779
285;81779
290;81779
295;80698
300;80646
