TEMPO;FO
0;156007
5;141252
10;141252
15;139113
20;138850
25;138850
30;138850
35;138850
40;138850
45;138850
50;138850
55;138850
60;138850
65;138850
70;138850
75;138850
80;138850
85;138850
90;138850
95;138850
100;138850
105;138850
110;138850
115;138850
120;138850
125;138850
130;138850
135;138850
140;138850
145;138850
150;138525
155;138525
160;138525
165;138525
170;138525
175;138525
180;137969
185;137744
190;137744
195;137744
200;137744
205;137744
210;137744
215;137744
220;137744
225;137744
230;137744
235;137744
240;137744
245;137744
250;137744
255;137744
260;137744
265;137744
270;137744
275;137744
280;137744
285;137744
290;137744
295;137744
300;137744
