TEMPO;FO
0;164789
5;99924
10;99924
15;99351
20;98828
25;98828
30;98329
35;98329
40;98059
45;94535
50;94535
55;94535
60;94535
65;94535
70;94535
75;94535
80;94535
85;94535
90;94535
95;94535
100;94535
105;94535
110;94535
115;94535
120;94535
125;94535
130;94535
135;94535
140;94535
145;94535
150;94535
155;94535
160;94535
165;94535
170;94535
175;94535
180;94535
185;94535
190;93871
195;93871
200;93871
205;93871
210;93871
215;93871
220;93871
225;93871
230;93871
235;93871
240;93871
245;93871
250;93871
255;93871
260;93871
265;93871
270;93871
275;93871
280;93871
285;93871
290;93871
295;93871
300;93871
