TEMPO;FO
0;245505
5;144986
10;144986
15;144986
20;144986
25;141632
30;141632
35;141632
40;141632
45;141632
50;141632
55;141632
60;141632
65;141632
70;141632
75;141632
80;141632
85;141632
90;141632
95;141632
100;141632
105;141632
110;141632
115;141632
120;141632
125;141632
130;141632
135;141632
140;140925
145;140925
150;140925
155;140925
160;140925
165;140925
170;140925
175;140925
180;140925
185;140925
190;140925
195;140925
200;140925
205;140925
210;140925
215;140925
220;140925
225;140925
230;140925
235;140925
240;140925
245;140925
250;140925
255;140925
260;140925
265;140925
270;140925
275;140925
280;140925
285;140925
290;140925
295;140925
300;140925
