TEMPO;FO_media;FO_min;FO_max
0;88083.4;85592;91175
5;80095.9;78287;82021
10;78731.8;75128;80660
15;78532.7;73695;80660
20;78201.3;73442;80660
25;78010.2;73442;80660
30;77844.8;73442;80660
35;77718.2;73442;80660
40;77599.5;73442;80660
45;77585.5;73442;80660
50;77585.5;73442;80660
55;77569.7;73442;80660
60;77552.8;73442;80660
65;77535.8;73442;80660
70;77454.1;73442;79843
75;77454.1;73442;79843
80;77394.2;73376;79755
85;77394.2;73376;79755
90;77394.2;73376;79755
95;77372.9;73376;79755
100;77372.9;73376;79755
105;77372.9;73376;79755
110;76789.1;73376;79755
115;76582.8;73376;79755
120;76176.6;72930;79234
125;76176.6;72930;79234
130;76176.6;72930;79234
135;75655.7;72930;79234
140;75620.5;72930;79234
145;75620.5;72930;79234
150;75620.5;72930;79234
155;75619.9;72930;79234
160;75619.9;72930;79234
165;75619.9;72930;79234
170;75619.9;72930;79234
175;75518.8;72568;79234
180;75518.8;72568;79234
185;75518.8;72568;79234
190;75518.8;72568;79234
195;75518.8;72568;79234
200;75518.8;72568;79234
205;75369.4;72568;79234
210;75369.4;72568;79234
215;75369.4;72568;79234
220;75369.4;72568;79234
225;75369.4;72568;79234
230;75369.4;72568;79234
235;75369.4;72568;79234
240;75369.4;72568;79234
245;75369.4;72568;79234
250;75369.4;72568;79234
255;75369.4;72568;79234
260;75369.4;72568;79234
265;75369.4;72568;79234
270;75369.4;72568;79234
275;75337.6;72568;78916
280;75218.2;72568;78754
285;75195.9;72568;78754
290;75195.9;72568;78754
295;75195.9;72568;78754
300;75195.9;72568;78754
