TEMPO;FO_media;FO_min;FO_max
0;92904.4;89152;97269
5;81869.2;74891;84282
10;80372.0;74891;84084
15;79551.0;74891;84084
20;78293.3;74891;84084
25;77809.7;73615;82313
30;77516.5;72998;82313
35;77418.2;72998;82313
40;77410.0;72998;82313
45;77280.0;72998;82313
50;77190.5;72998;81418
55;77190.5;72998;81418
60;77172.9;72998;81418
65;77162.3;72998;81418
70;77162.3;72998;81418
75;77107.2;72998;81418
80;77107.2;72998;81418
85;77010.0;72998;81418
90;77010.0;72998;81418
95;76416.8;72998;79586
100;76241.7;72998;79586
105;76241.7;72998;79586
110;76241.7;72998;79586
115;76241.7;72998;79586
120;76241.7;72998;79586
125;76241.7;72998;79586
130;76241.7;72998;79586
135;76234.8;72998;79586
140;76224.7;72998;79586
145;76224.7;72998;79586
150;76224.7;72998;79586
155;76224.7;72998;79586
160;76224.7;72998;79586
165;75939.8;72998;79317
170;75657.2;72998;79317
175;75407.9;72998;78038
180;75315.4;72998;78038
185;75211.3;72998;78038
190;75211.3;72998;78038
195;75211.3;72998;78038
200;75211.3;72998;78038
205;75211.3;72998;78038
210;75211.3;72998;78038
215;75211.3;72998;78038
220;75211.3;72998;78038
225;75211.3;72998;78038
230;75211.3;72998;78038
235;75060.0;72998;78038
240;75060.0;72998;78038
245;75060.0;72998;78038
250;75060.0;72998;78038
255;75060.0;72998;78038
260;75060.0;72998;78038
265;75060.0;72998;78038
270;75060.0;72998;78038
275;75060.0;72998;78038
280;75060.0;72998;78038
285;75029.0;72998;78038
290;75006.8;72998;78038
295;75006.8;72998;78038
300;74940.4;72998;78038
