TEMPO;FO_media;FO_min;FO_max
0;94605.2;89842;97058
5;85778.3;83798;87889
10;84400.5;80626;86979
15;84279.6;80626;86979
20;83938.6;80626;86979
25;83560.0;80626;85878
30;83431.1;80626;85878
35;83271.1;80626;85878
40;83097.8;80626;85878
45;83096.1;80626;85878
50;83096.1;80626;85878
55;83096.1;80626;85878
60;83096.1;80626;85878
65;83096.1;80626;85878
70;82793.2;80626;85150
75;82625.4;80626;85150
80;82388.8;78996;85150
85;82388.8;78996;85150
90;82388.8;78996;85150
95;82388.8;78996;85150
100;82388.8;78996;85150
105;82388.8;78996;85150
110;82388.8;78996;85150
115;82388.8;78996;85150
120;82388.8;78996;85150
125;82388.8;78996;85150
130;82388.8;78996;85150
135;82388.8;78996;85150
140;82388.8;78996;85150
145;82388.8;78996;85150
150;82388.8;78996;85150
155;82388.8;78996;85150
160;82388.8;78996;85150
165;82388.8;78996;85150
170;82388.8;78996;85150
175;82388.8;78996;85150
180;82388.8;78996;85150
185;82388.8;78996;85150
190;82388.8;78996;85150
195;82388.8;78996;85150
200;82283.2;78996;85150
205;82283.2;78996;85150
210;82146.8;78996;84077
215;82145.3;78996;84077
220;82145.3;78996;84077
225;82145.3;78996;84077
230;82145.3;78996;84077
235;82145.3;78996;84077
240;82145.3;78996;84077
245;82145.3;78996;84077
250;82139.6;78996;84077
255;81735.8;78996;84077
260;81735.8;78996;84077
265;81733.4;78996;84077
270;81733.4;78996;84077
275;81733.4;78996;84077
280;81733.4;78996;84077
285;81694.3;78996;84077
290;81463.5;78996;84077
295;81460.8;78996;84077
300;81460.8;78996;84077
