TEMPO;FO_media;FO_min;FO_max
0;233800.4;144056;249836
5;145133.2;143357;149265
10;144861.1;143357;146544
15;144459.6;140963;146455
20;144260.8;140963;146455
25;143625.7;140963;146074
30;143107.4;140963;144726
35;142884.7;140963;144622
40;142577.0;137994;144622
45;142577.0;137994;144622
50;142577.0;137994;144622
55;142243.9;137994;144259
60;142243.9;137994;144259
65;142242.7;137994;144259
70;142242.7;137994;144259
75;141783.0;137994;144120
80;141765.9;137994;144096
85;141765.9;137994;144096
90;141641.7;137994;143949
95;141561.0;137994;143949
100;141013.1;137866;143949
105;141013.1;137866;143949
110;141013.1;137866;143949
115;141013.1;137866;143949
120;140917.8;137866;143949
125;140917.8;137866;143949
130;140917.8;137866;143949
135;140337.2;137866;142450
140;140266.5;137866;142450
145;140132.8;137866;141978
150;140132.8;137866;141978
155;140132.8;137866;141978
160;140132.8;137866;141978
165;140132.8;137866;141978
170;140132.8;137866;141978
175;140132.8;137866;141978
180;140132.8;137866;141978
185;140132.8;137866;141978
190;140132.8;137866;141978
195;140132.8;137866;141978
200;140132.8;137866;141978
205;140132.8;137866;141978
210;140132.8;137866;141978
215;140132.8;137866;141978
220;140132.8;137866;141978
225;140132.8;137866;141978
230;140132.8;137866;141978
235;139943.1;137866;141978
240;139943.1;137866;141978
245;139943.1;137866;141978
250;139943.1;137866;141978
255;139943.1;137866;141978
260;139943.1;137866;141978
265;139943.1;137866;141978
270;139943.1;137866;141978
275;139943.1;137866;141978
280;139943.1;137866;141978
285;139943.1;137866;141978
290;139943.1;137866;141978
295;139943.1;137866;141978
300;139943.1;137866;141978
