TEMPO;FO_media;FO_min;FO_max
0;94909.3;92354;97170
5;84313.6;80342;89022
10;83353.5;79226;88794
15;83021.0;79226;88794
20;82730.8;79226;88217
25;82730.8;79226;88217
30;82730.8;79226;88217
35;82682.8;79226;88217
40;82551.4;79226;88217
45;82181.2;79226;86055
50;82181.2;79226;86055
55;82181.2;79226;86055
60;82181.2;79226;86055
65;82181.2;79226;86055
70;82181.2;79226;86055
75;82122.8;79226;86055
80;81960.9;79226;86055
85;81710.4;79226;86055
90;81710.4;79226;86055
95;81710.4;79226;86055
100;81710.4;79226;86055
105;81710.4;79226;86055
110;81592.6;79226;86055
115;81586.7;79226;86055
120;81586.7;79226;86055
125;81573.8;79226;86055
130;81573.8;79226;86055
135;81559.3;79226;86055
140;81505.6;79226;86055
145;81505.6;79226;86055
150;81505.6;79226;86055
155;81497.1;79226;86055
160;81465.3;79226;86055
165;81452.9;79226;86055
170;81452.9;79226;86055
175;81452.9;79226;86055
180;81368.2;79226;86055
185;81355.3;79226;86055
190;81355.3;79226;86055
195;81355.3;79226;86055
200;81355.3;79226;86055
205;81355.3;79226;86055
210;81355.3;79226;86055
215;81355.3;79226;86055
220;81355.3;79226;86055
225;81355.3;79226;86055
230;81355.3;79226;86055
235;81355.3;79226;86055
240;81355.3;79226;86055
245;81355.3;79226;86055
250;81355.3;79226;86055
255;81355.3;79226;86055
260;81355.3;79226;86055
265;81355.3;79226;86055
270;81355.3;79226;86055
275;81270.6;79226;85208
280;81117.9;79226;83681
285;81117.9;79226;83681
290;81117.9;79226;83681
295;81117.9;79226;83681
300;81117.9;79226;83681
