TEMPO;FO_media;FO_min;FO_max
0;96841.0;90897;100325
5;84417.7;81960;87645
10;83889.2;81347;87645
15;83881.4;81347;87645
20;83440.1;81347;86858
25;83382.6;81347;86858
30;83147.4;81338;86858
35;82583.8;79939;86858
40;82563.1;79895;86858
45;81874.1;79895;83690
50;81870.7;79895;83690
55;81751.2;79895;83690
60;81731.7;79895;83690
65;81731.7;79895;83690
70;81731.7;79895;83690
75;81731.7;79895;83690
80;81731.7;79895;83690
85;81651.3;79895;83690
90;81651.3;79895;83690
95;81651.3;79895;83690
100;81651.3;79895;83690
105;81651.3;79895;83690
110;81651.3;79895;83690
115;81651.3;79895;83690
120;81647.0;79895;83690
125;81647.0;79895;83690
130;81647.0;79895;83690
135;81647.0;79895;83690
140;81647.0;79895;83690
145;81647.0;79895;83690
150;81647.0;79895;83690
155;81647.0;79895;83690
160;81647.0;79895;83690
165;81647.0;79895;83690
170;81647.0;79895;83690
175;81647.0;79895;83690
180;81647.0;79895;83690
185;81647.0;79895;83690
190;81647.0;79895;83690
195;81647.0;79895;83690
200;81647.0;79895;83690
205;81647.0;79895;83690
210;81647.0;79895;83690
215;81647.0;79895;83690
220;81647.0;79895;83690
225;81647.0;79895;83690
230;81647.0;79895;83690
235;81647.0;79895;83690
240;81647.0;79895;83690
245;81647.0;79895;83690
250;81647.0;79895;83690
255;81647.0;79895;83690
260;81647.0;79895;83690
265;81647.0;79895;83690
270;81647.0;79895;83690
275;81647.0;79895;83690
280;81647.0;79895;83690
285;81647.0;79895;83690
290;81647.0;79895;83690
295;81647.0;79895;83690
300;81641.9;79895;83690
