TEMPO;FO
0;98405
5;81284
10;79565
15;79554
20;79554
25;79554
30;79554
35;79554
40;79554
45;79554
50;79554
55;79554
60;79554
65;79554
70;79554
75;79554
80;79554
85;79554
90;79554
95;79554
100;79554
105;79554
110;79554
115;79554
120;79554
125;79554
130;79281
135;79281
140;79281
145;79281
150;79281
155;79281
160;79281
165;79281
170;79281
175;79281
180;79281
185;79281
190;78920
195;78920
200;78920
205;78920
210;78920
215;78920
220;78920
225;78920
230;78920
235;78920
240;78920
245;78920
250;78920
255;78920
260;78920
265;78712
270;78712
275;78712
280;78712
285;78712
290;78712
295;78712
300;78712
