TEMPO;FO
0;91954
5;88257
10;87378
15;87378
20;87378
25;87378
30;87378
35;87378
40;87378
45;87378
50;87378
55;87378
60;87378
65;87378
70;87378
75;87378
80;87378
85;87378
90;87378
95;87378
100;87378
105;87378
110;87378
115;87378
120;87378
125;87378
130;87378
135;87378
140;84472
145;84382
150;84382
155;84382
160;84382
165;84382
170;84382
175;84382
180;84382
185;84382
190;84382
195;84382
200;84382
205;84382
210;84382
215;84382
220;84382
225;84382
230;84382
235;84382
240;84382
245;84382
250;84382
255;84382
260;84382
265;84382
270;84382
275;84382
280;84382
285;84382
290;84382
295;84382
300;84382
