TEMPO;FO
0;88319
5;80692
10;79284
15;79284
20;79284
25;78743
30;78743
35;78743
40;78743
45;78743
50;78743
55;78743
60;78743
65;78743
70;78743
75;78743
80;78743
85;78743
90;78743
95;78743
100;78743
105;78743
110;78743
115;78743
120;78743
125;78743
130;78743
135;78743
140;78743
145;78743
150;78743
155;78743
160;78743
165;78743
170;78743
175;78743
180;78743
185;78743
190;78743
195;78743
200;78743
205;78743
210;78743
215;78743
220;78743
225;78743
230;78743
235;78743
240;78743
245;78743
250;78743
255;78743
260;78743
265;78743
270;78743
275;78743
280;78743
285;78743
290;78743
295;78743
300;78743
