TEMPO;FO_media;FO_min;FO_max
0;102791.6;99033;106593
5;93779.2;89490;95638
10;92197.7;87065;94255
15;91438.6;86903;94255
20;90529.5;86903;93613
25;89710.1;86903;93027
30;89471.2;86903;92029
35;89229.3;86662;92029
40;89169.0;86059;92029
45;89165.5;86024;92029
50;89165.5;86024;92029
55;89165.5;86024;92029
60;89165.5;86024;92029
65;89165.5;86024;92029
70;89165.5;86024;92029
75;89165.5;86024;92029
80;89165.5;86024;92029
85;89165.5;86024;92029
90;89165.5;86024;92029
95;89165.5;86024;92029
100;89165.5;86024;92029
105;89165.5;86024;92029
110;89165.5;86024;92029
115;89165.5;86024;92029
120;89145.2;86024;92029
125;89120.9;86024;92029
130;89120.9;86024;92029
135;89120.9;86024;92029
140;89065.3;86024;92029
145;89065.3;86024;92029
150;89065.3;86024;92029
155;89065.3;86024;92029
160;89065.3;86024;92029
165;89065.3;86024;92029
170;89065.3;86024;92029
175;89046.8;86024;92029
180;89046.8;86024;92029
185;89046.8;86024;92029
190;88987.6;86024;91437
195;88987.6;86024;91437
200;88987.6;86024;91437
205;88987.6;86024;91437
210;88517.0;86024;91198
215;88517.0;86024;91198
220;88517.0;86024;91198
225;88517.0;86024;91198
230;88517.0;86024;91198
235;88517.0;86024;91198
240;88517.0;86024;91198
245;88517.0;86024;91198
250;88517.0;86024;91198
255;88345.3;86024;91198
260;88345.3;86024;91198
265;88133.4;86024;91198
270;88084.7;85748;91198
275;88084.7;85748;91198
280;88084.7;85748;91198
285;87991.8;85476;90541
290;87916.4;85476;89969
295;87916.4;85476;89969
300;87916.4;85476;89969
