TEMPO;FO_media;FO_min;FO_max
0;101701.8;96156;105137
5;92609.1;89215;94819
10;91278.1;89065;94445
15;89673.3;86118;92984
20;88927.9;85365;92984
25;88717.7;83469;92984
30;88717.7;83469;92984
35;88638.2;83469;92961
40;88564.4;83469;92961
45;88387.2;83469;92961
50;88285.8;83469;92961
55;88280.6;83469;92961
60;88044.4;83469;92961
65;87880.0;83469;92961
70;87880.0;83469;92961
75;87880.0;83469;92961
80;87880.0;83469;92961
85;87624.5;83469;91944
90;87553.1;83469;91230
95;87404.5;83469;91230
100;87346.6;83469;91230
105;87346.6;83469;91230
110;87346.6;83469;91230
115;87028.8;83469;89306
120;86920.7;83469;89306
125;86920.7;83469;89306
130;86816.4;83469;89306
135;86816.4;83469;89306
140;86816.4;83469;89306
145;86816.4;83469;89306
150;86816.4;83469;89306
155;86816.4;83469;89306
160;86816.4;83469;89306
165;86816.4;83469;89306
170;86816.4;83469;89306
175;86816.4;83469;89306
180;86816.4;83469;89306
185;86816.4;83469;89306
190;86816.4;83469;89306
195;86816.4;83469;89306
200;86816.4;83469;89306
205;86697.0;83469;89306
210;86640.2;83469;89306
215;86640.2;83469;89306
220;86531.8;83469;89306
225;86479.2;83469;89306
230;86479.2;83469;89306
235;86424.8;83469;89306
240;86424.8;83469;89306
245;86424.8;83469;89306
250;86424.8;83469;89306
255;86424.8;83469;89306
260;86424.8;83469;89306
265;86424.8;83469;89306
270;86424.8;83469;89306
275;86424.8;83469;89306
280;86343.5;83469;89306
285;86233.6;83469;89306
290;86212.3;83469;89306
295;86212.3;83469;89306
300;86212.3;83469;89306
