TEMPO;FO_media;FO_min;FO_max
0;94332.0;89075;97816
5;83341.6;77262;87846
10;82393.9;77262;86029
15;82220.6;77262;85752
20;81378.3;77262;84700
25;80944.3;77262;84177
30;80813.9;76644;84177
35;80813.9;76644;84177
40;80279.5;76644;83003
45;80278.1;76644;83003
50;80278.1;76644;83003
55;80278.1;76644;83003
60;80277.1;76644;83003
65;80275.8;76644;83003
70;80275.8;76644;83003
75;80275.8;76644;83003
80;80275.8;76644;83003
85;80275.8;76644;83003
90;80275.8;76644;83003
95;80275.8;76644;83003
100;79711.4;76644;82783
105;79711.4;76644;82783
110;79711.4;76644;82783
115;79711.4;76644;82783
120;79711.4;76644;82783
125;79627.7;76644;82783
130;79627.1;76644;82783
135;79610.7;76644;82783
140;79610.7;76644;82783
145;79610.7;76644;82783
150;79610.7;76644;82783
155;79610.7;76644;82783
160;79589.2;76644;82568
165;79589.2;76644;82568
170;79589.2;76644;82568
175;79434.1;76644;82568
180;79434.1;76644;82568
185;79380.5;76644;82407
190;79379.2;76644;82407
195;79379.2;76644;82407
200;79379.2;76644;82407
205;79364.8;76644;82407
210;79295.1;76518;82407
215;79295.1;76518;82407
220;79295.1;76518;82407
225;79295.1;76518;82407
230;79291.2;76479;82407
235;79291.2;76479;82407
240;79291.2;76479;82407
245;79291.2;76479;82407
250;79291.2;76479;82407
255;79291.2;76479;82407
260;79291.2;76479;82407
265;79291.2;76479;82407
270;79291.2;76479;82407
275;79291.2;76479;82407
280;79291.2;76479;82407
285;79291.2;76479;82407
290;79291.2;76479;82407
295;79291.2;76479;82407
300;79291.2;76479;82407
