TEMPO;FO_media;FO_min;FO_max
0;148773.6;144432;156007
5;139868.2;136904;143609
10;139225.8;136904;141645
15;138973.8;136904;141645
20;138808.4;136327;141645
25;138348.5;136327;141247
30;138323.1;136327;141247
35;137895.5;136327;140802
40;137849.3;136327;140802
45;137848.7;136327;140802
50;137848.7;136327;140802
55;137756.0;136327;140802
60;137684.1;136327;140802
65;137589.6;136327;140776
70;137389.4;136327;138850
75;137389.4;136327;138850
80;137182.1;135459;138850
85;137130.8;134946;138850
90;137130.8;134946;138850
95;137130.8;134946;138850
100;137130.8;134946;138850
105;137130.8;134946;138850
110;137130.8;134946;138850
115;137130.8;134946;138850
120;137130.8;134946;138850
125;137130.8;134946;138850
130;137130.8;134946;138850
135;136902.3;134946;138850
140;136902.3;134946;138850
145;136902.3;134946;138850
150;136869.8;134946;138774
155;136869.8;134946;138774
160;136869.8;134946;138774
165;136869.8;134946;138774
170;136869.8;134946;138774
175;136869.8;134946;138774
180;136811.4;134918;138774
185;136719.9;134228;138774
190;136719.6;134225;138774
195;136664.2;134225;138774
200;136664.2;134225;138774
205;136664.2;134225;138774
210;136664.2;134225;138774
215;136657.7;134225;138774
220;136657.7;134225;138774
225;136657.7;134225;138774
230;136258.0;133378;137902
235;136250.1;133378;137823
240;136250.1;133378;137823
245;136250.1;133378;137823
250;136250.1;133378;137823
255;136250.1;133378;137823
260;136250.1;133378;137823
265;136250.1;133378;137823
270;136246.8;133378;137790
275;136190.3;133378;137744
280;136190.3;133378;137744
285;136190.3;133378;137744
290;136190.3;133378;137744
295;136190.3;133378;137744
300;136190.3;133378;137744
