TEMPO;FO_media;FO_min;FO_max
0;131336.6;83477;143983
5;85610.5;82333;88911
10;85000.7;82333;87629
15;84572.6;82333;86936
20;84463.0;82333;86479
25;84384.5;82333;85799
30;84336.9;82333;85735
35;84108.5;82333;85458
40;84108.5;82333;85458
45;84045.0;82333;85458
50;83807.9;81099;85458
55;83593.0;81099;85458
60;83593.0;81099;85458
65;82904.6;79031;85458
70;82657.9;79031;84433
75;82657.9;79031;84433
80;82400.0;79031;83959
85;82400.0;79031;83959
90;82400.0;79031;83959
95;82362.6;79031;83959
100;82362.6;79031;83959
105;81802.6;79031;83185
110;81729.7;79031;83185
115;81729.7;79031;83185
120;81729.7;79031;83185
125;81729.7;79031;83185
130;81729.7;79031;83185
135;81729.7;79031;83185
140;81729.7;79031;83185
145;81729.7;79031;83185
150;81729.7;79031;83185
155;81692.2;79031;83185
160;81535.7;79031;83185
165;81535.7;79031;83185
170;81535.7;79031;83185
175;81535.7;79031;83185
180;81535.7;79031;83185
185;81535.7;79031;83185
190;81420.7;79031;83185
195;81420.7;79031;83185
200;81420.7;79031;83185
205;81420.7;79031;83185
210;81420.7;79031;83185
215;81420.7;79031;83185
220;81420.7;79031;83185
225;81420.7;79031;83185
230;81264.5;79031;83185
235;81162.4;79031;83185
240;81047.6;79031;83185
245;81047.6;79031;83185
250;80643.0;77497;83185
255;80643.0;77497;83185
260;80643.0;77497;83185
265;80643.0;77497;83185
270;80643.0;77497;83185
275;80643.0;77497;83185
280;80643.0;77497;83185
285;80643.0;77497;83185
290;80643.0;77497;83185
295;80643.0;77497;83185
300;80601.7;77497;82772
