TEMPO;FO_media;FO_min;FO_max
0;164898.3;106184;175282
5;99096.1;95268;100993
10;97910.6;94208;99894
15;97717.7;94208;99894
20;96886.4;92227;99666
25;96055.4;92227;98746
30;95728.7;92227;97969
35;95237.9;92227;97955
40;94941.2;92227;97955
45;94753.2;92091;97955
50;94753.2;92091;97955
55;93797.9;89762;96045
60;93638.2;89762;96045
65;93638.2;89762;96045
70;93638.2;89762;96045
75;93638.2;89762;96045
80;93638.2;89762;96045
85;93638.2;89762;96045
90;93638.2;89762;96045
95;93398.1;89762;96045
100;93268.5;89762;96045
105;93268.5;89762;96045
110;92721.0;89762;95446
115;92721.0;89762;95446
120;92721.0;89762;95446
125;92397.3;89293;94938
130;92397.3;89293;94938
135;92397.3;89293;94938
140;92397.3;89293;94938
145;92397.3;89293;94938
150;92397.3;89293;94938
155;92397.3;89293;94938
160;92397.3;89293;94938
165;92329.0;89293;94938
170;92329.0;89293;94938
175;92329.0;89293;94938
180;92329.0;89293;94938
185;92329.0;89293;94938
190;92329.0;89293;94938
195;92329.0;89293;94938
200;92329.0;89293;94938
205;92329.0;89293;94938
210;92206.9;89293;94938
215;92206.9;89293;94938
220;92206.9;89293;94938
225;92206.9;89293;94938
230;92206.9;89293;94938
235;92206.9;89293;94938
240;92135.4;89293;94938
245;92135.4;89293;94938
250;92135.4;89293;94938
255;92050.1;89293;94938
260;92050.1;89293;94938
265;92050.1;89293;94938
270;92050.1;89293;94938
275;92050.1;89293;94938
280;92050.1;89293;94938
285;92050.1;89293;94938
290;92050.1;89293;94938
295;92050.1;89293;94938
300;92050.1;89293;94938
