TEMPO;FO_media;FO_min;FO_max
0;93045.0;82008;98591
5;80027.7;77633;81284
10;79590.2;77633;80800
15;78976.3;76745;80113
20;78544.0;76745;79554
25;78213.9;76745;79554
30;78213.9;76745;79554
35;78213.9;76745;79554
40;78213.9;76745;79554
45;78206.4;76745;79554
50;78192.2;76745;79554
55;78027.7;76745;79554
60;78027.7;76745;79554
65;78027.7;76745;79554
70;78027.4;76745;79554
75;78019.5;76745;79554
80;78019.5;76745;79554
85;78019.5;76745;79554
90;78019.5;76745;79554
95;78019.5;76745;79554
100;78019.5;76745;79554
105;78019.5;76745;79554
110;78010.2;76745;79554
115;77919.3;76745;79554
120;77919.3;76745;79554
125;77919.3;76745;79554
130;77892.0;76745;79281
135;77892.0;76745;79281
140;77892.0;76745;79281
145;77874.6;76745;79281
150;77874.6;76745;79281
155;77874.6;76745;79281
160;77874.6;76745;79281
165;77874.6;76745;79281
170;77874.6;76745;79281
175;77874.6;76745;79281
180;77874.6;76745;79281
185;77874.6;76745;79281
190;77838.5;76745;78920
195;77838.5;76745;78920
200;77838.5;76745;78920
205;77838.5;76745;78920
210;77838.5;76745;78920
215;77838.5;76745;78920
220;77838.5;76745;78920
225;77838.5;76745;78920
230;77838.5;76745;78920
235;77838.5;76745;78920
240;77838.5;76745;78920
245;77838.5;76745;78920
250;77838.5;76745;78920
255;77838.5;76745;78920
260;77838.5;76745;78920
265;77669.1;76745;78712
270;77652.3;76745;78712
275;77652.3;76745;78712
280;77634.9;76745;78712
285;77634.9;76745;78712
290;77634.9;76745;78712
295;77634.9;76745;78712
300;77634.9;76745;78712
