TEMPO;FO_media;FO_min;FO_max
0;107395.6;103454;110072
5;94647.8;86880;99649
10;92167.4;85632;96095
15;91708.6;85632;96095
20;91090.4;85632;96095
25;90843.9;85632;95508
30;90816.6;85632;95508
35;90625.9;85632;95508
40;90590.7;85632;95508
45;89917.6;85632;94928
50;89861.8;85632;94928
55;89861.8;85632;94928
60;89783.5;85632;94928
65;89783.5;85632;94928
70;89783.5;85632;94928
75;89783.5;85632;94928
80;89783.5;85632;94928
85;89780.7;85632;94928
90;89766.4;85632;94928
95;89766.4;85632;94928
100;89721.5;85632;94928
105;89672.1;85632;94928
110;89278.2;84936;94928
115;89278.2;84936;94928
120;89278.2;84936;94928
125;89278.2;84936;94928
130;89278.2;84936;94928
135;89174.3;84936;93889
140;89174.3;84936;93889
145;89174.3;84936;93889
150;89174.3;84936;93889
155;89078.8;84936;93704
160;88984.2;84936;93704
165;88984.2;84936;93704
170;88984.2;84936;93704
175;88815.4;84936;93704
180;88815.4;84936;93704
185;88694.3;84936;93704
190;88694.3;84936;93704
195;88694.1;84936;93704
200;88693.8;84936;93704
205;88693.8;84936;93704
210;88693.8;84936;93704
215;88693.8;84936;93704
220;88693.8;84936;93704
225;88693.8;84936;93704
230;88637.5;84373;93704
235;88570.5;84341;93704
240;88570.5;84341;93704
245;88570.5;84341;93704
250;87995.1;84341;93437
255;87995.1;84341;93437
260;87969.6;84341;93437
265;87881.6;84341;93437
270;87878.9;84341;93437
275;87779.5;84341;93437
280;87779.5;84341;93437
285;87779.5;84341;93437
290;87779.5;84341;93437
295;87779.5;84341;93437
300;87779.5;84341;93437
