TEMPO;FO_media;FO_min;FO_max
0;91395.0;82037;97983
5;80183.1;78719;81344
10;79919.2;78719;81093
15;79633.4;78491;81093
20;79443.2;78335;81093
25;79237.0;78335;80967
30;79070.0;78004;80935
35;78747.9;76745;79690
40;78663.8;76745;79554
45;78642.6;76745;79554
50;78642.6;76745;79554
55;78642.6;76745;79554
60;78642.6;76745;79554
65;78642.6;76745;79554
70;78642.6;76745;79554
75;78634.0;76745;79554
80;78634.0;76745;79554
85;78634.0;76745;79554
90;78634.0;76745;79554
95;78634.0;76745;79554
100;78590.4;76745;79554
105;78590.4;76745;79554
110;78582.5;76745;79482
115;78157.5;76745;79102
120;78135.7;76745;79102
125;77853.5;76745;78719
130;77853.5;76745;78719
135;77823.3;76745;78719
140;77823.3;76745;78719
145;77823.3;76745;78719
150;77823.3;76745;78719
155;77823.3;76745;78719
160;77823.3;76745;78719
165;77823.3;76745;78719
170;77823.3;76745;78719
175;77823.3;76745;78719
180;77823.3;76745;78719
185;77823.3;76745;78719
190;77823.3;76745;78719
195;77823.3;76745;78719
200;77823.3;76745;78719
205;77823.3;76745;78719
210;77823.3;76745;78719
215;77823.3;76745;78719
220;77823.3;76745;78719
225;77823.3;76745;78719
230;77823.3;76745;78719
235;77823.3;76745;78719
240;77823.3;76745;78719
245;77823.3;76745;78719
250;77823.3;76745;78719
255;77823.3;76745;78719
260;77823.3;76745;78719
265;77823.3;76745;78719
270;77823.3;76745;78719
275;77823.3;76745;78719
280;77823.3;76745;78719
285;77823.3;76745;78719
290;77823.3;76745;78719
295;77823.3;76745;78719
300;77823.3;76745;78719
