TEMPO;FO_media;FO_min;FO_max
0;92383.2;86979;98261
5;78634.6;74066;82281
10;78254.6;73941;80861
15;77675.8;73941;80409
20;77172.7;73941;80409
25;77026.3;73451;80409
30;77026.3;73451;80409
35;76659.3;73451;80409
40;76419.9;73451;79339
45;76331.1;73451;79339
50;76331.1;73451;79339
55;76331.1;73451;79339
60;76057.2;73451;79339
65;76057.2;73451;79339
70;76057.2;73451;79339
75;76057.2;73451;79339
80;76057.2;73451;79339
85;76015.0;73029;79339
90;76015.0;73029;79339
95;76015.0;73029;79339
100;76015.0;73029;79339
105;76015.0;73029;79339
110;76015.0;73029;79339
115;76015.0;73029;79339
120;76015.0;73029;79339
125;76015.0;73029;79339
130;76015.0;73029;79339
135;76015.0;73029;79339
140;76015.0;73029;79339
145;76015.0;73029;79339
150;76015.0;73029;79339
155;76012.7;73029;79339
160;76012.7;73029;79339
165;76012.7;73029;79339
170;76012.7;73029;79339
175;76012.7;73029;79339
180;76012.7;73029;79339
185;76012.7;73029;79339
190;76012.7;73029;79339
195;76012.7;73029;79339
200;76012.7;73029;79339
205;76012.7;73029;79339
210;76012.7;73029;79339
215;76012.7;73029;79339
220;76012.7;73029;79339
225;76012.7;73029;79339
230;76012.7;73029;79339
235;76012.7;73029;79339
240;76012.7;73029;79339
245;76012.7;73029;79339
250;76012.7;73029;79339
255;76012.7;73029;79339
260;76012.7;73029;79339
265;75904.1;73029;79339
270;75904.1;73029;79339
275;75904.1;73029;79339
280;75904.1;73029;79339
285;75904.1;73029;79339
290;75690.1;73029;79339
295;75690.1;73029;79339
300;75690.1;73029;79339
