TEMPO;FO
0;88029
5;80280
10;75476
15;75203
20;74941
25;74941
30;74941
35;74941
40;74941
45;74941
50;74941
55;74941
60;74941
65;74941
70;74941
75;74941
80;74941
85;74941
90;74941
95;74941
100;74941
105;74941
110;74941
115;74941
120;74941
125;74941
130;74941
135;74941
140;74941
145;74941
150;74941
155;74941
160;74941
165;74941
170;74941
175;74941
180;74941
185;74941
190;74941
195;74941
200;74941
205;74941
210;74941
215;74941
220;74941
225;74941
230;74941
235;74941
240;74941
245;74941
250;74941
255;74941
260;74941
265;74941
270;74941
275;74941
280;74941
285;74941
290;74941
295;74941
300;74941
