TEMPO;FO
0;95445
5;87979
10;83766
15;80888
20;80888
25;80888
30;80185
35;80185
40;80185
45;79675
50;79675
55;79675
60;79675
65;79675
70;79675
75;79675
80;79675
85;79675
90;79675
95;79675
100;79675
105;79675
110;79675
115;79675
120;79675
125;79675
130;79675
135;79675
140;79675
145;79675
150;79675
155;79675
160;79675
165;79675
170;79675
175;79675
180;79675
185;79675
190;79675
195;79675
200;79675
205;79675
210;79675
215;79675
220;79675
225;79675
230;79675
235;79675
240;79675
245;79675
250;79675
255;79675
260;79675
265;79675
270;79675
275;79675
280;79675
285;79675
290;79675
295;79675
300;79675
