TEMPO;FO
0;86289
5;80130
10;80130
15;80130
20;80130
25;80130
30;80130
35;80130
40;80130
45;80130
50;80130
55;80130
60;80130
65;80130
70;80130
75;80130
80;80130
85;80130
90;80130
95;80130
100;80130
105;80130
110;80130
115;80130
120;80130
125;80130
130;80130
135;80130
140;79231
145;79231
150;78884
155;78754
160;78754
165;78754
170;78754
175;78754
180;78754
185;78754
190;78754
195;78754
200;78754
205;73990
210;73990
215;73990
220;73860
225;73860
230;73860
235;73860
240;73860
245;73860
250;73860
255;73860
260;73860
265;73860
270;73860
275;73860
280;73860
285;73860
290;73860
295;73860
300;73860
