TEMPO;FO
0;149635
5;137051
10;137029
15;137029
20;137029
25;137029
30;137029
35;137029
40;137029
45;137029
50;137029
55;137029
60;137029
65;137029
70;137029
75;137029
80;137029
85;137029
90;137029
95;137029
100;137029
105;137029
110;137029
115;137029
120;137029
125;137029
130;137029
135;137029
140;137029
145;137029
150;137029
155;137029
160;137029
165;137029
170;137029
175;137029
180;137029
185;137029
190;137029
195;136475
200;136475
205;136475
210;136475
215;136475
220;136475
225;136475
230;136475
235;136475
240;136475
245;136475
250;136475
255;136475
260;136475
265;136475
270;136475
275;136475
280;136475
285;136475
290;136475
295;136475
300;136475
