TEMPO;FO
0;160924
5;100510
10;100045
15;100045
20;100045
25;98327
30;98327
35;98327
40;98327
45;97583
50;97583
55;97583
60;97583
65;97583
70;97583
75;97583
80;97583
85;97583
90;95767
95;95767
100;95767
105;95767
110;95767
115;95767
120;95767
125;95767
130;95767
135;95767
140;95767
145;95767
150;95767
155;95767
160;95767
165;95767
170;95767
175;95670
180;95670
185;95670
190;95670
195;95670
200;95670
205;95670
210;95670
215;95670
220;94251
225;94251
230;94251
235;94251
240;94251
245;94251
250;94251
255;94251
260;94251
265;94251
270;94251
275;94251
280;94251
285;94251
290;94251
295;94251
300;94251
