TEMPO;FO
0;170454
5;95268
10;95268
15;95268
20;95268
25;95268
30;95268
35;94117
40;94117
45;94117
50;94117
55;94117
60;94117
65;94117
70;94117
75;94117
80;94117
85;94117
90;94117
95;94117
100;94117
105;94117
110;94117
115;94117
120;94117
125;94117
130;94117
135;94117
140;94117
145;94117
150;94117
155;94117
160;94117
165;94117
170;94117
175;94117
180;94117
185;94117
190;94117
195;94117
200;94117
205;94117
210;94117
215;94117
220;94117
225;94117
230;94117
235;94117
240;94117
245;94117
250;94117
255;94117
260;94117
265;94117
270;94117
275;94117
280;94117
285;94117
290;94117
295;94117
300;94117
