TEMPO;FO
0;101255
5;86279
10;86279
15;86279
20;86279
25;86279
30;86279
35;86279
40;86279
45;81226
50;81226
55;80175
60;80175
65;80175
70;80175
75;77105
80;77105
85;77105
90;77105
95;77105
100;77105
105;77105
110;77105
115;77105
120;77105
125;77105
130;77105
135;77105
140;77105
145;77105
150;77105
155;77105
160;77105
165;77105
170;77105
175;77105
180;77105
185;77105
190;77105
195;77105
200;77105
205;77105
210;77105
215;77105
220;77105
225;77105
230;77105
235;77105
240;77105
245;77105
250;77105
255;77105
260;77105
265;77105
270;77105
275;77105
280;77105
285;77105
290;77105
295;77105
300;77105
