TEMPO;FO
0;90018
5;79571
10;78293
15;76722
20;76302
25;76142
30;75592
35;75592
40;75592
45;75592
50;75592
55;75592
60;75592
65;75592
70;73447
75;73447
80;73447
85;73447
90;73447
95;73447
100;73447
105;73447
110;73447
115;73447
120;73447
125;73447
130;73447
135;73447
140;73447
145;73447
150;73447
155;73447
160;73447
165;73447
170;73447
175;73447
180;73447
185;73447
190;73447
195;73447
200;73447
205;73447
210;73447
215;73447
220;73447
225;73447
230;73447
235;73447
240;73447
245;73447
250;73447
255;73447
260;73447
265;73447
270;73447
275;73447
280;73447
285;73447
290;73447
295;73447
300;73447
