TEMPO;FO
0;88507
5;83947
10;78694
15;78679
20;74958
25;73508
30;73508
35;73499
40;73499
45;73499
50;73499
55;73499
60;73499
65;73499
70;73499
75;73499
80;73499
85;73499
90;73499
95;73499
100;73499
105;73499
110;73499
115;73499
120;73474
125;73474
130;73474
135;73474
140;73474
145;73474
150;73474
155;73474
160;73474
165;73474
170;73474
175;73474
180;73474
185;73474
190;73474
195;73474
200;73474
205;73474
210;73474
215;73474
220;73474
225;73474
230;73474
235;73474
240;73474
245;73474
250;73474
255;73474
260;73474
265;73474
270;73474
275;73474
280;73474
285;73474
290;73474
295;73474
300;73474
