TEMPO;FO
0;152287
5;140362
10;136730
15;136730
20;136691
25;136534
30;136534
35;136534
40;136534
45;136534
50;136534
55;136534
60;136534
65;136534
70;136534
75;136534
80;136534
85;136534
90;136534
95;136534
100;136534
105;136534
110;136534
115;136534
120;136534
125;136534
130;136534
135;136534
140;136534
145;136534
150;136534
155;136534
160;136534
165;136534
170;136534
175;136534
180;136534
185;136534
190;136534
195;136534
200;136534
205;136534
210;136534
215;136534
220;136534
225;136534
230;136534
235;136534
240;136534
245;136534
250;136534
255;136534
260;136534
265;136534
270;136534
275;136534
280;136534
285;136534
290;136534
295;136534
300;136534
