EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;78996;78996;77
masculina;21-22;80435;80435;79
masculina;21-22;81600;81600;34
masculina;21-22;82501;82501;11
masculina;21-22;81380;81380;41
masculina;21-22;79630;79630;263
masculina;21-22;83524;83524;10
masculina;21-22;84077;84077;34
masculina;21-22;81169;81169;293
masculina;21-22;81296;81296;209
masculina;22-23;136896;136896;27
masculina;22-23;136475;136475;192
masculina;22-23;133378;133378;225
masculina;22-23;137744;137744;181
masculina;22-23;135538;135538;133
masculina;22-23;134225;134225;187
masculina;22-23;137191;137191;211
masculina;22-23;136904;136904;3
masculina;22-23;136327;136327;19
masculina;22-23;137225;137225;271
masculina;23-24;86452;86452;223
masculina;23-24;84318;84318;246
masculina;23-24;87063;87063;20
masculina;23-24;84917;84917;13
masculina;23-24;87077;87077;72
masculina;23-24;87526;87526;26
masculina;23-24;85243;85243;44
masculina;23-24;85446;85446;162
masculina;23-24;85933;85933;181
masculina;23-24;86026;86026;148
masculina;24-25;73859;73859;69
masculina;24-25;73253;73253;26
masculina;24-25;79119;79119;110
masculina;24-25;72371;72371;169
masculina;24-25;72797;72797;69
masculina;24-25;76750;76750;115
masculina;24-25;72351;72351;74
masculina;24-25;74241;74241;51
masculina;24-25;76237;76237;61
masculina;24-25;72462;72462;38
feminina;21-22;76617;76617;52
feminina;21-22;75605;75605;151
feminina;21-22;73116;73116;287
feminina;21-22;77960;77960;201
feminina;21-22;77905;77905;32
feminina;21-22;76327;76327;105
feminina;21-22;73860;73860;266
feminina;21-22;77960;77960;90
feminina;21-22;72919;72919;43
feminina;21-22;73860;73860;215
feminina;22-23;76745;76745;130
feminina;22-23;77108;77108;117
feminina;22-23;76999;76999;222
feminina;22-23;78637;78637;10
feminina;22-23;76745;76745;31
feminina;22-23;78231;78231;26
feminina;22-23;76745;76745;95
feminina;22-23;76745;76745;18
feminina;22-23;76745;76745;10
feminina;22-23;76999;76999;214
feminina;23-24;76644;76644;28
feminina;23-24;77263;77263;55
feminina;23-24;82228;82228;184
feminina;23-24;76479;76479;228
feminina;23-24;82407;82407;1
feminina;23-24;76898;76898;131
feminina;23-24;82407;82407;3
feminina;23-24;80468;80468;186
feminina;23-24;81184;81184;41
feminina;23-24;76934;76934;64
feminina;24-25;91092;91092;126
feminina;24-25;88262;88262;66
feminina;24-25;90047;90047;152
feminina;24-25;89871;89871;226
feminina;24-25;91786;91786;81
feminina;24-25;86868;86868;39
feminina;24-25;87022;87022;116
feminina;24-25;86725;86725;22
feminina;24-25;86635;86635;5
feminina;24-25;90605;90605;102
masculina;22-23;134967;134967;54
masculina;22-23;135232;135232;236
masculina;22-23;136595;136595;45
masculina;22-23;137421;137421;35
masculina;22-23;135768;135768;567
masculina;22-23;134485;134485;254
masculina;22-23;134321;134321;453
masculina;22-23;137274;137274;44
masculina;22-23;135399;135399;208
masculina;22-23;134608;134608;291
feminina;21-22;77960;77960;218
feminina;21-22;73116;73116;56
feminina;21-22;72919;72919;376
feminina;21-22;72919;72919;181
feminina;21-22;72568;72568;265
feminina;21-22;78067;78067;569
feminina;21-22;76523;76523;62
feminina;21-22;77577;77577;526
feminina;21-22;73041;73041;209
feminina;21-22;73206;73206;343
feminina;23-24;79973;79973;531
feminina;23-24;76898;76898;328
feminina;23-24;82407;82407;122
feminina;23-24;76764;76764;447
feminina;23-24;76457;76457;160
feminina;23-24;76479;76479;342
feminina;23-24;76494;76494;337
feminina;23-24;77999;77999;11
feminina;23-24;80850;80850;175
feminina;23-24;80695;80695;88
masculina;22-23;136929;136929;33
masculina;22-23;135786;135786;268
masculina;22-23;137825;137825;52
masculina;22-23;133623;133623;194
masculina;22-23;132868;132868;148
masculina;22-23;136857;136857;109
masculina;22-23;137565;137565;134
masculina;22-23;135786;135786;58
masculina;22-23;134060;134060;442
masculina;22-23;134991;134991;55
feminina;21-22;78553;78553;68
feminina;21-22;77525;77525;21
feminina;21-22;76590;76590;369
feminina;21-22;73041;73041;82
feminina;21-22;74171;74171;212
feminina;21-22;77053;77053;103
feminina;21-22;75180;75180;257
feminina;21-22;74171;74171;222
feminina;21-22;76795;76795;563
feminina;21-22;79348;79348;79
feminina;23-24;76479;76479;196
feminina;23-24;79599;79599;168
feminina;23-24;81705;81705;36
feminina;23-24;76479;76479;67
feminina;23-24;79656;79656;101
feminina;23-24;76559;76559;259
feminina;23-24;78305;78305;34
feminina;23-24;76491;76491;166
feminina;23-24;76953;76953;232
feminina;23-24;77929;77929;46
