EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;83358;83358;80
masculina;21-22;85932;85932;237
masculina;21-22;84495;84495;288
masculina;21-22;86431;86431;255
masculina;21-22;86575;86575;20
masculina;21-22;81592;81592;262
masculina;21-22;86387;86387;229
masculina;21-22;81748;81748;119
masculina;21-22;82339;82339;37
masculina;21-22;86640;86640;292
masculina;22-23;139216;139216;231
masculina;22-23;140925;140925;137
masculina;22-23;137994;137994;39
masculina;22-23;137866;137866;95
masculina;22-23;140484;140484;91
masculina;22-23;140963;140963;13
masculina;22-23;141440;141440;24
masculina;22-23;140422;140422;74
masculina;22-23;138143;138143;133
masculina;22-23;141978;141978;116
masculina;23-24;91479;91479;239
masculina;23-24;94117;94117;33
masculina;23-24;94938;94938;122
masculina;23-24;92688;92688;93
masculina;23-24;89293;89293;122
masculina;23-24;91237;91237;162
masculina;23-24;89762;89762;52
masculina;23-24;92091;92091;43
masculina;23-24;91984;91984;253
masculina;23-24;92912;92912;98
masculina;24-25;82638;82638;27
masculina;24-25;83212;83212;18
masculina;24-25;77591;77591;231
masculina;24-25;83247;83247;248
masculina;24-25;83620;83620;43
masculina;24-25;80746;80746;169
masculina;24-25;79199;79199;52
masculina;24-25;82704;82704;120
masculina;24-25;80397;80397;290
masculina;24-25;80570;80570;207
feminina;21-22;81708;81708;239
feminina;21-22;77497;77497;247
feminina;21-22;81130;81130;152
feminina;21-22;81124;81124;185
feminina;21-22;80658;80658;227
feminina;21-22;82772;82772;296
feminina;21-22;81099;81099;49
feminina;21-22;79334;79334;159
feminina;21-22;79031;79031;62
feminina;21-22;81664;81664;234
feminina;22-23;79195;79195;132
feminina;22-23;83688;83688;248
feminina;22-23;79442;79442;9
feminina;22-23;82294;82294;201
feminina;22-23;82256;82256;51
feminina;22-23;81521;81521;137
feminina;22-23;80895;80895;13
feminina;22-23;81459;81459;70
feminina;22-23;83985;83985;235
feminina;22-23;84552;84552;193
feminina;23-24;86834;86834;163
feminina;23-24;83078;83078;29
feminina;23-24;86322;86322;223
feminina;23-24;86346;86346;37
feminina;23-24;83091;83091;139
feminina;23-24;84329;84329;26
feminina;23-24;84532;84532;103
feminina;23-24;84286;84286;79
feminina;23-24;87566;87566;221
feminina;23-24;87718;87718;148
feminina;24-25;94123;94123;106
feminina;24-25;94197;94197;187
feminina;24-25;91014;91014;233
feminina;24-25;94251;94251;218
feminina;24-25;96233;96233;243
feminina;24-25;94350;94350;171
feminina;24-25;94552;94552;174
feminina;24-25;94928;94928;62
feminina;24-25;95115;95115;224
feminina;24-25;93871;93871;187
masculina;22-23;140814;140814;224
masculina;22-23;140507;140507;50
masculina;22-23;138260;138260;189
masculina;22-23;140781;140781;502
masculina;22-23;138615;138615;531
masculina;22-23;137878;137878;320
masculina;22-23;137671;137671;418
masculina;22-23;137803;137803;71
masculina;22-23;140284;140284;22
masculina;22-23;139947;139947;398
feminina;21-22;77944;77944;345
feminina;21-22;78886;78886;448
feminina;21-22;80625;80625;129
feminina;21-22;80724;80724;548
feminina;21-22;81245;81245;16
feminina;21-22;80502;80502;191
feminina;21-22;79735;79735;239
feminina;21-22;77699;77699;93
feminina;21-22;80529;80529;598
feminina;21-22;79251;79251;4
feminina;23-24;87357;87357;84
feminina;23-24;86067;86067;3
feminina;23-24;85750;85750;485
feminina;23-24;84119;84119;582
feminina;23-24;83073;83073;447
feminina;23-24;80662;80662;77
feminina;23-24;85499;85499;377
feminina;23-24;85233;85233;349
feminina;23-24;85403;85403;298
feminina;23-24;80007;80007;7
masculina;22-23;138926;138926;212
masculina;22-23;136866;136866;192
masculina;22-23;138222;138222;256
masculina;22-23;140171;140171;256
masculina;22-23;135027;135027;362
masculina;22-23;138789;138789;49
masculina;22-23;139934;139934;400
masculina;22-23;138900;138900;191
masculina;22-23;137824;137824;209
masculina;22-23;139116;139116;50
feminina;21-22;77624;77624;400
feminina;21-22;78919;78919;268
feminina;21-22;79187;79187;87
feminina;21-22;78950;78950;335
feminina;21-22;80212;80212;186
feminina;21-22;76282;76282;25
feminina;21-22;78710;78710;386
feminina;21-22;78331;78331;286
feminina;21-22;80271;80271;433
feminina;21-22;80638;80638;75
feminina;23-24;82760;82760;429
feminina;23-24;84653;84653;497
feminina;23-24;85136;85136;196
feminina;23-24;82554;82554;458
feminina;23-24;86152;86152;495
feminina;23-24;82713;82713;444
feminina;23-24;81257;81257;119
feminina;23-24;80616;80616;465
feminina;23-24;82256;82256;543
feminina;23-24;81834;81834;433
