EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;94244;94244;0
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;94244;94244;0
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;93415;93415;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;95024;95024;4
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;93260;93260;3
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;88403;88403;3
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;90484;90484;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87947;87947;2
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;93813;93813;4
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;94469;94469;2
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;95101;95101;2
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80494;80494;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80721;80721;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80564;80564;1
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80162;80162;3
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;81962;81962;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;82372;82372;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;82645;82645;3
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;79635;79635;5
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;82017;82017;3
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;83016;83016;1
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87907;87907;44
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;86332;86332;20
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;91049;91049;51
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87960;87960;16
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;85683;85683;26
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;90316;90316;30
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;86976;86976;24
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;91263;91263;13
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;84744;84744;27
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87907;87907;34
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;78875;78875;27
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80676;80676;7
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;77892;77892;35
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;79487;79487;21
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;77235;77235;44
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80498;80498;39
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;80425;80425;18
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;78725;78725;32
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;79785;79785;17
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;79798;79798;45
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87907;87907;44
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;86332;86332;20
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;91049;91049;50
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;87960;87960;16
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;85683;85683;23
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;90316;90316;26
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;86976;86976;21
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;91263;91263;11
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;84744;84744;25
