instancia,metodo,checkpoint,mediana_s,taxa_sucesso_pct,n_atingiu,n_total
feminina 21-22,ILS+SA,0%,-1,0.0,0,2
feminina 21-22,ILS+SA,-2%,-1,0.0,0,2
feminina 21-22,ILS+SA,-5%,-1,0.0,0,2
feminina 21-22,GA+RVND,0%,-1,0.0,0,2
feminina 21-22,GA+RVND,-2%,-1,0.0,0,2
feminina 21-22,GA+RVND,-5%,-1,0.0,0,2
feminina 21-22,GA+QVND,0%,-1,0.0,0,2
feminina 21-22,GA+QVND,-2%,-1,0.0,0,2
feminina 21-22,GA+QVND,-5%,-1,0.0,0,2
feminina 21-22,GA+RVND+Min,0%,-1,0.0,0,2
feminina 21-22,GA+RVND+Min,-2%,-1,0.0,0,2
feminina 21-22,GA+RVND+Min,-5%,-1,0.0,0,2
feminina 21-22,GA+QVND+Min,0%,-1,0.0,0,2
feminina 21-22,GA+QVND+Min,-2%,-1,0.0,0,2
feminina 21-22,GA+QVND+Min,-5%,-1,0.0,0,2
feminina 22-23,ILS+SA,0%,-1,0.0,0,2
feminina 22-23,ILS+SA,-2%,-1,0.0,0,2
feminina 22-23,ILS+SA,-5%,-1,0.0,0,2
feminina 22-23,GA+RVND,0%,-1,0.0,0,2
feminina 22-23,GA+RVND,-2%,-1,0.0,0,2
feminina 22-23,GA+RVND,-5%,-1,0.0,0,2
feminina 22-23,GA+QVND,0%,-1,0.0,0,2
feminina 22-23,GA+QVND,-2%,-1,0.0,0,2
feminina 22-23,GA+QVND,-5%,-1,0.0,0,2
feminina 22-23,GA+RVND+Min,0%,-1,0.0,0,2
feminina 22-23,GA+RVND+Min,-2%,-1,0.0,0,2
feminina 22-23,GA+RVND+Min,-5%,-1,0.0,0,2
feminina 22-23,GA+QVND+Min,0%,-1,0.0,0,2
feminina 22-23,GA+QVND+Min,-2%,-1,0.0,0,2
feminina 22-23,GA+QVND+Min,-5%,-1,0.0,0,2
feminina 23-24,ILS+SA,0%,-1,0.0,0,2
feminina 23-24,ILS+SA,-2%,-1,0.0,0,2
feminina 23-24,ILS+SA,-5%,-1,0.0,0,2
feminina 23-24,GA+RVND,0%,-1,0.0,0,2
feminina 23-24,GA+RVND,-2%,-1,0.0,0,2
feminina 23-24,GA+RVND,-5%,-1,0.0,0,2
feminina 23-24,GA+QVND,0%,-1,0.0,0,2
feminina 23-24,GA+QVND,-2%,-1,0.0,0,2
feminina 23-24,GA+QVND,-5%,-1,0.0,0,2
feminina 23-24,GA+RVND+Min,0%,-1,0.0,0,2
feminina 23-24,GA+RVND+Min,-2%,-1,0.0,0,2
feminina 23-24,GA+RVND+Min,-5%,-1,0.0,0,2
feminina 23-24,GA+QVND+Min,0%,-1,0.0,0,2
feminina 23-24,GA+QVND+Min,-2%,-1,0.0,0,2
feminina 23-24,GA+QVND+Min,-5%,-1,0.0,0,2
feminina 24-25,ILS+SA,0%,-1,0.0,0,2
feminina 24-25,ILS+SA,-2%,-1,0.0,0,2
feminina 24-25,ILS+SA,-5%,-1,0.0,0,2
feminina 24-25,GA+RVND,0%,-1,0.0,0,2
feminina 24-25,GA+RVND,-2%,-1,0.0,0,2
feminina 24-25,GA+RVND,-5%,-1,0.0,0,2
feminina 24-25,GA+QVND,0%,-1,0.0,0,2
feminina 24-25,GA+QVND,-2%,-1,0.0,0,2
feminina 24-25,GA+QVND,-5%,-1,0.0,0,2
feminina 24-25,GA+RVND+Min,0%,-1,0.0,0,2
feminina 24-25,GA+RVND+Min,-2%,-1,0.0,0,2
feminina 24-25,GA+RVND+Min,-5%,-1,0.0,0,2
feminina 24-25,GA+QVND+Min,0%,-1,0.0,0,2
feminina 24-25,GA+QVND+Min,-2%,-1,0.0,0,2
feminina 24-25,GA+QVND+Min,-5%,-1,0.0,0,2
masculina 21-22,ILS+SA,0%,-1,0.0,0,2
masculina 21-22,ILS+SA,-2%,-1,0.0,0,2
masculina 21-22,ILS+SA,-5%,-1,0.0,0,2
masculina 21-22,GA+RVND,0%,-1,0.0,0,2
masculina 21-22,GA+RVND,-2%,-1,0.0,0,2
masculina 21-22,GA+RVND,-5%,-1,0.0,0,2
masculina 21-22,GA+QVND,0%,-1,0.0,0,2
masculina 21-22,GA+QVND,-2%,-1,0.0,0,2
masculina 21-22,GA+QVND,-5%,-1,0.0,0,2
masculina 21-22,GA+RVND+Min,0%,-1,0.0,0,2
masculina 21-22,GA+RVND+Min,-2%,-1,0.0,0,2
masculina 21-22,GA+RVND+Min,-5%,-1,0.0,0,2
masculina 21-22,GA+QVND+Min,0%,-1,0.0,0,2
masculina 21-22,GA+QVND+Min,-2%,-1,0.0,0,2
masculina 21-22,GA+QVND+Min,-5%,-1,0.0,0,2
masculina 22-23,ILS+SA,0%,-1,0.0,0,2
masculina 22-23,ILS+SA,-2%,-1,0.0,0,2
masculina 22-23,ILS+SA,-5%,-1,0.0,0,2
masculina 22-23,GA+RVND,0%,-1,0.0,0,2
masculina 22-23,GA+RVND,-2%,-1,0.0,0,2
masculina 22-23,GA+RVND,-5%,-1,0.0,0,2
masculina 22-23,GA+QVND,0%,-1,0.0,0,2
masculina 22-23,GA+QVND,-2%,-1,0.0,0,2
masculina 22-23,GA+QVND,-5%,-1,0.0,0,2
masculina 22-23,GA+RVND+Min,0%,-1,0.0,0,2
masculina 22-23,GA+RVND+Min,-2%,-1,0.0,0,2
masculina 22-23,GA+RVND+Min,-5%,-1,0.0,0,2
masculina 22-23,GA+QVND+Min,0%,-1,0.0,0,2
masculina 22-23,GA+QVND+Min,-2%,-1,0.0,0,2
masculina 22-23,GA+QVND+Min,-5%,-1,0.0,0,2
masculina 23-24,ILS+SA,0%,-1,0.0,0,2
masculina 23-24,ILS+SA,-2%,-1,0.0,0,2
masculina 23-24,ILS+SA,-5%,-1,0.0,0,2
masculina 23-24,GA+RVND,0%,-1,0.0,0,2
masculina 23-24,GA+RVND,-2%,-1,0.0,0,2
masculina 23-24,GA+RVND,-5%,-1,0.0,0,2
masculina 23-24,GA+QVND,0%,-1,0.0,0,2
masculina 23-24,GA+QVND,-2%,-1,0.0,0,2
masculina 23-24,GA+QVND,-5%,-1,0.0,0,2
masculina 23-24,GA+RVND+Min,0%,-1,0.0,0,2
masculina 23-24,GA+RVND+Min,-2%,-1,0.0,0,2
masculina 23-24,GA+RVND+Min,-5%,-1,0.0,0,2
masculina 23-24,GA+QVND+Min,0%,-1,0.0,0,2
masculina 23-24,GA+QVND+Min,-2%,-1,0.0,0,2
masculina 23-24,GA+QVND+Min,-5%,-1,0.0,0,2
masculina 24-25,ILS+SA,0%,-1,0.0,0,2
masculina 24-25,ILS+SA,-2%,-1,0.0,0,2
masculina 24-25,ILS+SA,-5%,-1,0.0,0,2
masculina 24-25,GA+RVND,0%,-1,0.0,0,2
masculina 24-25,GA+RVND,-2%,-1,0.0,0,2
masculina 24-25,GA+RVND,-5%,-1,0.0,0,2
masculina 24-25,GA+QVND,0%,-1,0.0,0,2
masculina 24-25,GA+QVND,-2%,-1,0.0,0,2
masculina 24-25,GA+QVND,-5%,-1,0.0,0,2
masculina 24-25,GA+RVND+Min,0%,-1,0.0,0,2
masculina 24-25,GA+RVND+Min,-2%,-1,0.0,0,2
masculina 24-25,GA+RVND+Min,-5%,-1,0.0,0,2
masculina 24-25,GA+QVND+Min,0%,-1,0.0,0,2
masculina 24-25,GA+QVND+Min,-2%,-1,0.0,0,2
masculina 24-25,GA+QVND+Min,-5%,-1,0.0,0,2
