EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;78996;78996;77
masculina;21-22;80435;80435;79
masculina;21-22;81600;81600;34
masculina;21-22;82501;82501;11
masculina;21-22;81380;81380;41
masculina;21-22;79630;79630;263
masculina;21-22;83524;83524;10
masculina;21-22;84077;84077;34
masculina;21-22;81169;81169;293
masculina;21-22;81296;81296;209
masculina;22-23;136896;136896;27
masculina;22-23;136475;136475;192
masculina;22-23;133378;133378;225
masculina;22-23;137744;137744;181
masculina;22-23;135538;135538;133
masculina;22-23;134225;134225;187
masculina;22-23;137191;137191;211
masculina;22-23;136904;136904;3
masculina;22-23;136327;136327;19
masculina;22-23;137225;137225;271
masculina;23-24;86452;86452;223
masculina;23-24;84318;84318;246
masculina;23-24;87063;87063;20
masculina;23-24;84917;84917;13
masculina;23-24;87077;87077;72
masculina;23-24;87526;87526;26
masculina;23-24;85243;85243;44
masculina;23-24;85446;85446;162
masculina;23-24;85933;85933;181
masculina;23-24;86026;86026;148
masculina;24-25;73859;73859;69
masculina;24-25;73253;73253;26
masculina;24-25;79119;79119;110
masculina;24-25;72371;72371;169
masculina;24-25;72797;72797;69
masculina;24-25;76750;76750;115
masculina;24-25;72351;72351;74
masculina;24-25;74241;74241;51
masculina;24-25;76237;76237;61
masculina;24-25;72462;72462;38
feminina;21-22;76617;76617;52
feminina;21-22;75605;75605;151
feminina;21-22;73116;73116;287
feminina;21-22;77960;77960;201
feminina;21-22;77905;77905;32
feminina;21-22;76327;76327;105
feminina;21-22;73860;73860;266
feminina;21-22;77960;77960;90
feminina;21-22;72919;72919;43
feminina;21-22;73860;73860;215
feminina;22-23;76745;76745;130
feminina;22-23;77108;77108;117
feminina;22-23;76999;76999;222
feminina;22-23;78637;78637;10
feminina;22-23;76745;76745;31
feminina;22-23;78231;78231;26
feminina;22-23;76745;76745;95
feminina;22-23;76745;76745;18
feminina;22-23;76745;76745;10
feminina;22-23;76999;76999;214
feminina;23-24;76644;76644;28
feminina;23-24;77263;77263;55
feminina;23-24;82228;82228;184
feminina;23-24;76479;76479;228
feminina;23-24;82407;82407;1
feminina;23-24;76898;76898;131
feminina;23-24;82407;82407;3
feminina;23-24;80468;80468;186
feminina;23-24;81184;81184;41
feminina;23-24;76934;76934;64
feminina;24-25;91092;91092;126
feminina;24-25;88262;88262;66
feminina;24-25;90047;90047;152
feminina;24-25;89871;89871;226
feminina;24-25;91786;91786;81
feminina;24-25;86868;86868;39
feminina;24-25;87022;87022;116
feminina;24-25;86725;86725;22
feminina;24-25;86635;86635;5
feminina;24-25;90605;90605;102
