EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;79226;79226;5
masculina;21-22;79900;79900;19
masculina;21-22;81204;81204;77
masculina;21-22;81042;81042;180
masculina;21-22;80777;80777;11
masculina;21-22;81006;81006;161
masculina;21-22;81777;81777;38
masculina;21-22;81102;81102;31
masculina;21-22;81464;81464;122
masculina;21-22;83681;83681;276
masculina;22-23;135220;135220;39
masculina;22-23;137250;137250;135
masculina;22-23;136492;136492;102
masculina;22-23;136284;136284;282
masculina;22-23;136192;136192;18
masculina;22-23;136394;136394;10
masculina;22-23;135373;135373;143
masculina;22-23;136503;136503;85
masculina;22-23;135559;135559;29
masculina;22-23;136855;136855;65
masculina;23-24;93095;93095;6
masculina;23-24;87265;87265;197
masculina;23-24;86059;86059;272
masculina;23-24;86340;86340;31
masculina;23-24;87098;87098;20
masculina;23-24;84692;84692;263
masculina;23-24;85229;85229;183
masculina;23-24;93437;93437;190
masculina;23-24;90239;90239;85
masculina;23-24;84341;84341;231
masculina;24-25;77061;77061;11
masculina;24-25;72371;72371;135
masculina;24-25;73916;73916;286
masculina;24-25;74457;74457;267
masculina;24-25;74112;74112;25
masculina;24-25;76043;76043;31
masculina;24-25;73447;73447;69
masculina;24-25;74499;74499;7
masculina;24-25;74647;74647;197
masculina;24-25;73447;73447;236
feminina;21-22;76409;76409;23
feminina;21-22;73577;73577;213
feminina;21-22;76162;76162;5
feminina;21-22;73813;73813;94
feminina;21-22;74273;74273;250
feminina;21-22;74045;74045;117
feminina;21-22;74116;74116;115
feminina;21-22;73579;73579;285
feminina;21-22;75262;75262;147
feminina;21-22;77353;77353;67
feminina;22-23;77108;77108;11
feminina;22-23;78296;78296;54
feminina;22-23;76745;76745;262
feminina;22-23;78231;78231;143
feminina;22-23;76745;76745;22
feminina;22-23;77108;77108;21
feminina;22-23;78712;78712;264
feminina;22-23;78231;78231;278
feminina;22-23;78428;78428;70
feminina;22-23;76745;76745;14
feminina;23-24;76953;76953;225
feminina;23-24;77262;77262;98
feminina;23-24;78049;78049;4
feminina;23-24;77105;77105;72
feminina;23-24;84977;84977;75
feminina;23-24;76953;76953;213
feminina;23-24;76900;76900;138
feminina;23-24;78024;78024;7
feminina;23-24;79346;79346;43
feminina;23-24;80391;80391;9
feminina;24-25;85421;85421;224
feminina;24-25;85637;85637;34
feminina;24-25;85137;85137;164
feminina;24-25;85446;85446;35
feminina;24-25;88490;88490;26
feminina;24-25;87523;87523;15
feminina;24-25;85645;85645;9
feminina;24-25;87836;87836;37
feminina;24-25;94174;94174;30
feminina;24-25;88694;88694;227
