EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;80542;80542;115
masculina;21-22;83690;83690;14
masculina;21-22;82265;82265;81
masculina;21-22;80926;80926;49
masculina;21-22;81286;81286;44
masculina;21-22;82173;82173;295
masculina;21-22;81092;81092;55
masculina;21-22;83212;83212;2
masculina;21-22;79895;79895;35
masculina;21-22;81338;81338;27
masculina;22-23;136534;136534;21
masculina;22-23;133774;133774;270
masculina;22-23;140297;140297;25
masculina;22-23;136479;136479;15
masculina;22-23;137579;137579;44
masculina;22-23;138099;138099;103
masculina;22-23;135104;135104;8
masculina;22-23;136771;136771;7
masculina;22-23;135193;135193;9
masculina;22-23;136356;136356;19
masculina;23-24;84755;84755;44
masculina;23-24;86140;86140;27
masculina;23-24;86051;86051;63
masculina;23-24;85571;85571;195
masculina;23-24;93120;93120;142
masculina;23-24;84898;84898;113
masculina;23-24;88437;88437;239
masculina;23-24;92972;92972;206
masculina;23-24;82531;82531;75
masculina;23-24;86043;86043;34
masculina;24-25;73781;73781;286
masculina;24-25;74929;74929;39
masculina;24-25;79339;79339;35
masculina;24-25;74730;74730;150
masculina;24-25;74882;74882;17
masculina;24-25;76598;76598;32
masculina;24-25;73941;73941;5
masculina;24-25;73029;73029;81
masculina;24-25;78743;78743;24
masculina;24-25;76929;76929;10
feminina;21-22;73914;73914;27
feminina;21-22;74968;74968;10
feminina;21-22;73845;73845;227
feminina;21-22;73659;73659;3
feminina;21-22;73795;73795;92
feminina;21-22;73820;73820;7
feminina;21-22;74862;74862;114
feminina;21-22;73474;73474;117
feminina;21-22;74246;74246;267
feminina;21-22;75151;75151;284
feminina;22-23;78719;78719;2
feminina;22-23;78231;78231;133
feminina;22-23;76745;76745;30
feminina;22-23;78637;78637;42
feminina;22-23;78205;78205;122
feminina;22-23;78491;78491;10
feminina;22-23;78004;78004;27
feminina;22-23;76745;76745;121
feminina;22-23;76745;76745;112
feminina;22-23;77711;77711;111
feminina;23-24;86460;86460;5
feminina;23-24;79930;79930;42
feminina;23-24;79566;79566;46
feminina;23-24;78282;78282;21
feminina;23-24;82407;82407;5
feminina;23-24;77862;77862;183
feminina;23-24;78003;78003;5
feminina;23-24;85054;85054;24
feminina;23-24;84382;84382;141
feminina;23-24;78211;78211;27
feminina;24-25;86361;86361;22
feminina;24-25;87975;87975;163
feminina;24-25;92030;92030;38
feminina;24-25;87926;87926;137
feminina;24-25;86226;86226;105
feminina;24-25;88628;88628;244
feminina;24-25;88455;88455;36
feminina;24-25;88769;88769;96
feminina;24-25;93049;93049;1
feminina;24-25;89229;89229;89
