EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;84851;84851;43
masculina;21-22;83549;83549;228
masculina;21-22;85105;85105;68
masculina;21-22;84435;84435;168
masculina;21-22;84512;84512;223
masculina;21-22;85708;85708;229
masculina;21-22;84352;84352;262
masculina;21-22;85511;85511;243
masculina;21-22;85941;85941;270
masculina;21-22;85445;85445;57
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;22-23;140643;140643;298
masculina;22-23;137461;137461;19
masculina;22-23;141189;141189;259
masculina;22-23;141793;141793;28
masculina;22-23;142757;142757;257
masculina;22-23;140300;140300;184
masculina;22-23;141215;141215;177
masculina;22-23;140160;140160;161
masculina;22-23;140360;140360;61
masculina;22-23;141713;141713;247
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;23-24;93697;93697;16
masculina;23-24;90872;90872;266
masculina;23-24;93815;93815;140
masculina;23-24;92223;92223;270
masculina;23-24;87459;87459;225
masculina;23-24;92115;92115;228
masculina;23-24;93857;93857;115
masculina;23-24;91390;91390;161
masculina;23-24;90876;90876;181
masculina;23-24;87040;87040;88
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;24-25;79357;79357;174
masculina;24-25;81788;81788;79
masculina;24-25;77303;77303;8
masculina;24-25;83638;83638;129
masculina;24-25;76173;76173;181
masculina;24-25;83326;83326;58
masculina;24-25;82112;82112;85
masculina;24-25;78198;78198;32
masculina;24-25;79405;79405;251
masculina;24-25;79326;79326;73
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;21-22;82235;82235;170
feminina;21-22;80659;80659;140
feminina;21-22;80935;80935;61
feminina;21-22;77096;77096;276
feminina;21-22;81120;81120;293
feminina;21-22;80586;80586;20
feminina;21-22;80002;80002;296
feminina;21-22;81740;81740;254
feminina;21-22;80090;80090;235
feminina;21-22;79323;79323;111
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;22-23;84106;84106;246
feminina;22-23;82829;82829;11
feminina;22-23;81242;81242;234
feminina;22-23;80111;80111;264
feminina;22-23;82056;82056;163
feminina;22-23;84051;84051;59
feminina;22-23;83842;83842;151
feminina;22-23;83155;83155;55
feminina;22-23;83682;83682;102
feminina;22-23;79730;79730;38
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;23-24;84938;84938;139
feminina;23-24;84242;84242;210
feminina;23-24;86019;86019;13
feminina;23-24;86026;86026;30
feminina;23-24;84306;84306;5
feminina;23-24;85426;85426;117
feminina;23-24;86483;86483;0
feminina;23-24;83955;83955;263
feminina;23-24;87134;87134;189
feminina;23-24;85259;85259;152
EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
feminina;24-25;90208;90208;19
feminina;24-25;93198;93198;90
feminina;24-25;94537;94537;5
feminina;24-25;95282;95282;163
feminina;24-25;91835;91835;50
feminina;24-25;92939;92939;24
feminina;24-25;94105;94105;76
feminina;24-25;94400;94400;91
feminina;24-25;94658;94658;164
feminina;24-25;95069;95069;209
